Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
206.0,10.912043193462022,0.23766183938073482,0.807975141659333,18.96340702900041,10.40824311796759,6.4381403277724845
207.0,10.972685478505111,0.23181128473407675,0.8118126635086639,18.987777971565464,10.428734796075723,6.443354840627253
208.0,11.033523308792786,0.22598838626019768,0.8156684118765909,19.01297491545144,10.447345352203968,6.449477995416793
209.0,11.094555788002832,0.22019301322552942,0.8195424733309541,19.036566699870686,10.461152771547196,6.455678412529707
210.0,11.155782009390867,0.21442503551449454,0.823434934850752,19.061445110165977,10.475246396444518,6.461205213218471
211.0,11.217201055996076,0.20868432362658207,0.8273458838280969,19.08764605943826,10.48910418156961,6.4666815852051585
212.0,11.278812000849307,0.202970748673446,0.8312754080701726,19.109896567610495,10.50393970242841,6.471601390874367
213.0,11.340613907183545,0.19728418237600986,0.8352235958012078,19.132247007889593,10.515887585126832,6.476405071734192
214.0,11.40260582864659,0.19162449706158147,0.8391905356644589,19.155520258718152,10.527410956235236,6.481258255998813
215.0,11.464786809515699,0.18599156566099384,0.8431763167241966,19.17736635414536,10.538612146231063,6.485913889292893
216.0,11.527155884914245,0.1803852617057493,0.8471810284677068,19.198971987940386,10.548790031452455,6.490701840098858
217.0,11.589712081030278,0.17480545932517666,0.8512047608073025,19.22114910847161,10.558530613774137,6.495536981066402
218.0,11.652454415336605,0.1692520332436107,0.8552476040823377,19.24445046520524,10.568224827598236,6.500140335063828
219.0,11.71538189681262,0.16372485877757836,0.8593096490612384,19.265993641433454,10.578268404067973,6.504608133008864
220.0,11.77849352616758,0.15822381183299394,0.8633909869435421,19.287004366904718,10.587884271120277,6.508815459767917
221.0,11.841788296065106,0.15274876890238098,0.8674917093619414,19.30823681673812,10.597927847590025,6.513042680418618
222.0,11.905265191349049,0.1472996070620951,0.8716119083843434,19.32877130326253,10.607929852303302,6.517291182906894
223.0,11.968923189270404,0.14187620396956202,0.8757516765159388,19.349187120410033,10.617756775965336,6.522023615875705
224.0,12.03276125971513,0.13647843786053637,0.8799111067012744,19.37042893887845,10.62849987718323,6.526434045389017
225.0,12.096778365432964,0.13110618754636327,0.8840902923263433,19.397736948522244,10.64128878849315,6.5309920598194315
226.0,12.160973462266846,0.12575933241126092,0.8882893272206793,19.437933077075055,10.654300748265618,6.536651178020084
227.0,12.225345499383065,0.12043775240960675,0.8925083056594674,19.46500218652585,10.665824119374026,6.54174725282226
228.0,12.289893419501787,0.11514132806325028,0.8967473223656549,19.486392341715412,10.682684664446606,6.545887495528082
229.0,12.354616159128053,0.10986994045882548,0.9010064725120812,19.505099944410954,10.695778968275151,6.549861647371087
230.0,12.419512648783035,0.10462347124507998,0.9052858517236165,19.522558395770503,10.706457313487782,6.553705332296774
231.0,12.48458181323533,0.09940180263022191,0.9095855560793044,19.53980917572045,10.716199494723181,6.557461113980301
232.0,12.549822571732397,0.094204817379274,0.9139056821145207,19.55818575331195,10.725609901363743,6.561601356686127
233.0,12.615233838231877,0.08903239881143765,0.9182463268231441,19.574761991540466,10.734690931780028,6.565461696962962
234.0,12.680814521632618,0.08388443079747931,0.9226075876597282,19.590755812958587,10.744685741381616,6.569195271511627
235.0,12.746563526005508,0.0787607977571203,0.9269895625416923,19.607227434762716,10.752904157851328,6.57328508551537
236.0,12.812479750823842,0.07366138465643868,0.9313923498515226,19.625908492992362,10.760603726822122,6.577490561679852
237.0,12.878562091193064,0.06858607700529262,0.9358160484389757,19.645515484649806,10.768091439726334,6.581632654980247
238.0,12.944809438079977,0.06353476085474741,0.9402607576233001,19.6648179956691,10.775763027707198,6.585503636175868
239.0,13.011220678541196,0.058507322794512984,0.9447265771954694,19.68777583578533,10.782834223589944,6.589278386453756
240.0,13.077794695950619,0.053503649950404686,0.9492136074204172,19.7211812653879,10.79059615019543,6.5930096477592075
241.0,13.144530370226075,0.04852362998180593,0.9537219490392906,19.746459404110723,10.797667346078175,6.596632649282208
